# Created by Octave 4.0.3, Tue Aug 01 15:52:49 2017 CEST <timo@timo-Lenovo-ideapad-100-14IBY>
# name: EW
# type: matrix
# rows: 40000
# columns: 2
 40048.00120003 -0.0002996403554869104
 40048.25120628015 -0.0002996385573155874
 40048.50121253031 -0.0002996366380486207
 40048.75121878047 -0.0002996347742820403
 40049.00122503062 -0.0002996329384146342
 40049.25123128078 -0.0002996310781746816
 40049.50123753094 -0.00029962916916881
 40049.75124378109 -0.0002996273053811104
 40050.00125003125 -0.0002996254894895947
 40050.25125628141 -0.0002996235633397062
 40050.50126253156 -0.000299621750805586
 40050.75126878172 -0.0002996198399786502
 40051.00127503188 -0.0002996179941266246
 40051.25128128204 -0.0002996161202026623
 40051.50128753219 -0.0002996142246854032
 40051.75129378234 -0.0002996123861373958
 40052.0013000325 -0.0002996104977932605
 40052.25130628265 -0.0002996085830491184
 40052.50131253281 -0.0002996067646565832
 40052.75131878297 -0.0002996049103725163
 40053.00132503312 -0.0002996030747168937
 40053.25133128328 -0.0002996011344598174
 40053.50133753344 -0.0002995992642474235
 40053.7513437836 -0.0002995973930723935
 40054.00135003375 -0.0002995955420794703
 40054.25135628391 -0.0002995936816933682
 40054.50136253407 -0.000299591770524972
 40054.75136878422 -0.0002995899631669528
 40055.00137503438 -0.0002995880485770526
 40055.25138128454 -0.0002995862020920325
 40055.50138753468 -0.0002995843300546438
 40055.75139378484 -0.0002995824397885851
 40056.001400035 -0.0002995805777029891
 40056.25140628516 -0.000299578689817492
 40056.50141253531 -0.0002995768145801918
 40056.75141878547 -0.000299574969853124
 40057.00142503563 -0.0002995730919259719
 40057.25143128578 -0.0002995712187825797
 40057.50143753594 -0.0002995693404313453
 40057.7514437861 -0.000299567472780033
 40058.00145003625 -0.0002995655973987507
 40058.25145628641 -0.0002995637819136492
 40058.50146253657 -0.000299561841529794
 40058.75146878672 -0.0002995600206667838
 40059.00147503688 -0.0002995581439823217
 40059.25148128703 -0.0002995562681462616
 40059.50148753719 -0.0002995543638973154
 40059.75149378734 -0.0002995525472835417
 40060.0015000375 -0.0002995506215343374
 40060.25150628766 -0.0002995487190134344
 40060.50151253781 -0.0002995469144504321
 40060.75151878797 -0.0002995450464902166
 40061.00152503813 -0.0002995431372756623
 40061.25153128828 -0.0002995413155169311
 40061.50153753844 -0.0002995394990962184
 40061.7515437886 -0.0002995375792097432
 40062.00155003875 -0.0002995356621859609
 40062.25155628891 -0.0002995338115079348
 40062.50156253907 -0.0002995319773617666
 40062.75156878922 -0.0002995301260763221
 40063.00157503938 -0.0002995282168644994
 40063.25158128953 -0.0002995263134870861
 40063.50158753969 -0.0002995244784429853
 40063.75159378984 -0.000299522608259947
 40064.00160004 -0.0002995207551341845
 40064.25160629016 -0.000299518949288047
 40064.50161254031 -0.000299517030455851
 40064.75161879047 -0.0002995151419330072
 40065.00162504063 -0.000299513290181079
 40065.25163129078 -0.0002995113759177015
 40065.50163754094 -0.0002995094817777929
 40065.7516437911 -0.0002995076480090695
 40066.00165004125 -0.0002995058389013096
